inscricao,nota_final_fase_2
 10025061, 70.00 
 10020549, 70.00 
 10013116, 70.00 
 10029025, 70.00 
 10013749, 70.00 
 10032318, 70.00 
 10001160, 70.00 
 10012213, 70.00 
 10027203, 70.00 
 10016453, 70.00 
 10004870, 70.00 
 10011754, 70.00 
 10005058, 7.83 
 10019405, 7.50 
 10012644, 7.50 
 10016134, 7.50 
 10011378, 7.50 
 10005943, 7.50 
 10002175, 7.50 
 10027656, 7.50 
 10027295, 7.50 
 10000612, 7.50 
 10028505, 7.50 
 10009222, 7.50 
 10031451, 7.50 
 10014837, 7.50 
 10018324, 7.50 
 10021857, 7.50 
 10023707, 7.50 
 10004346, 7.50 
 10014225, 7.50 
 10013744, 7.50 
 10005950, 7.50 
 10015418, 7.50 
 10031506, 7.50 
 10001607, 7.50 
 10017919, 7.50 
 10016201, 7.00 
 10016870, 7.00 
 10017806, 7.00 
 10024510, 7.00 
 10006723, 7.00 
 10013217, 7.00 
 10005120, 7.00 
 10017514, 7.00 
 10008826, 7.00 
 10001561, 7.00 
 10004793, 69.83 
 10020763, 69.67 
 10030504, 69.67 
 10016275, 69.67 
 10024228, 69.67 
 10012291, 69.67 
 10015083, 69.67 
 10002639, 69.67 
 10027571, 69.67 
 10015883, 69.67 
 10031728, 69.67 
 10023164, 69.67 
 10017236, 69.67 
 10000407, 69.67 
 10012274, 69.50 
 10016482, 69.50 
 10027464, 69.50 
 10016598, 69.50 
 10009223, 69.50 
 10012769, 69.50 
 10000680, 69.50 
 10025329, 69.50 
 10027630, 69.33 
 10009266, 69.17 
 10027417, 69.17 
 10014068, 69.17 
 10004236, 69.17 
 10024413, 69.17 
 10027352, 69.17 
 10001862, 69.17 
 10022469, 69.00 
 10023380, 68.83 
 10030298, 68.83 
 10012400, 68.83 
 10026297, 68.67 
 10004496, 68.67 
 10020871, 68.50 
 10027488, 68.50 
 10003076, 68.50 
 10017429, 68.50 
 10009123, 68.33 
 10011671, 68.33 
 10015734, 68.33 
 10030223, 68.33 
 10027367, 68.33 
 10001482, 68.33 
 10023624, 68.17 
 10007767, 68.00 
 10015314, 68.00 
 10015710, 68.00 
 10016880, 68.00 
 10018505, 68.00 
 10028469, 67.83 
 10025492, 67.83 
 10020477, 67.67 
 10018037, 67.67 
 10022095, 67.17 
 10026871, 67.17 
 10009942, 67.17 
 10030744, 67.17 
 10016980, 67.17 
 10027728, 67.17 
 10025523, 67.17 
 10018739, 67.17 
 10026487, 67.00 
 10025366, 66.83 
 10003342, 66.83 
 10015421, 66.83 
 10031671, 66.83 
 10005260, 66.83 
 10024124, 66.83 
 10020373, 66.67 
 10022655, 66.67 
 10012265, 66.67 
 10024292, 66.67 
 10017778, 66.50 
 10002088, 66.50 
 10002873, 66.33 
 10027252, 66.33 
 10013311, 66.17 
 10023916, 66.00 
 10008112, 65.83 
 10001698, 65.83 
 10002965, 65.83 
 10008260, 65.83 
 10023268, 65.83 
 10014691, 65.83 
 10002964, 65.83 
 10019654, 65.67 
 10003531, 65.50 
 10031893, 65.50 
 10021640, 65.50 
 10018302, 65.50 
 10009814, 65.50 
 10020586, 65.50 
 10010997, 65.50 
 10023079, 65.33 
 10028771, 65.33 
 10017190, 65.33 
 10022163, 65.17 
 10007349, 65.17 
 10025084, 65.00 
 10020539, 65.00 
 10018239, 64.67 
 10000482, 64.67 
 10026315, 64.67 
 10001669, 64.67 
 10024336, 64.67 
 10007595, 64.67 
 10026254, 64.67 
 10001405, 64.67 
 10000994, 64.67 
10005745, 64.67 
 10029719, 64.67 
 10026766, 64.67 
 10010853, 64.67 
 10016403, 64.67 
 10007821, 64.67 
 10020532, 64.67 
 10012186, 64.17 
 10017097, 64.17 
 10026827, 64.17 
 10011845, 64.17 
 10020936, 64.17 
 10009116, 64.17 
 10027397, 64.17 
 10013937, 64.17 
 10019950, 64.17 
 10014554, 64.17 
 10022966, 64.17 
 10029616, 64.00 
 10026846, 63.83 
 10031807, 63.83 
 10016740, 63.83 
 10015599, 63.50 
 10012900, 63.50 
 10000885, 63.50 
 10027975, 63.50 
 10027458, 63.33 
 10003701, 63.33 
 10007663, 63.17 
 10001457, 63.17 
 10006931, 63.17 
 10027583, 63.17 
 10015548, 62.67 
 10021438, 62.50 
 10029741, 62.50 
 10019252, 62.50 
 10012448, 62.50 
 10008878, 62.33 
 10000886, 62.17 
 10011271, 62.00 
 10021673, 62.00 
 10001108, 62.00 
 10016109, 62.00 
 10021189, 62.00 
 10005148, 62.00 
 10017585, 62.00 
 10031500, 61.83 
 10030410, 61.83 
 10017958, 61.67 
 10013408, 61.50 
 10012391, 61.50 
 10005619, 61.50 
 10003489, 61.33 
 10023397, 61.33 
 10030919, 61.17 
 10000935, 61.17 
 10020816, 61.17 
 10025330, 61.17 
 10003646, 61.17 
 10017619, 61.17 
 10031897, 61.00 
 10002543, 61.00 
 10007912, 61.00 
 10005778, 60.83 
 10023996, 60.67 
 10001576, 60.67 
 10000341, 60.67 
 10000298, 60.67 
 10028504, 60.50 
 10023086, 60.50 
 10007282, 60.33 
 10007598, 60.33 
 10023563, 60.17 
 10029633, 60.17 
 10003907, 60.17 
 10013822, 60.00 
 10012236, 60.00 
 10013382, 60.00 
 10006103, 60.00 
 10013794, 60.00 
 10006945, 60.00 
 10030240, 60.00 
 10021086, 60.00 
 10023227, 60.00 
 10020658, 60.00 
 10021279, 60.00 
 10018414, 60.00 
 10029848, 60.00 
 10012637, 60.00 
 10024989, 60.00 
 10029694, 60.00 
 10023571, 60.00 
 10014737, 60.00 
 10032313, 60.00 
 10021786, 60.00 
 10006154, 60.00 
 10026968, 60.00 
 10026777, 6.00 
 10015290, 6.00 
 10027336, 59.83 
 10015833, 59.67 
 10029085, 59.67 
 10019556, 59.67 
 10004669, 59.67 
 10006649, 59.50 
 10004477, 59.33 
 10018585, 59.33 
 10011205, 59.17 
 10026663, 59.17 
 10009302, 58.83 
 10002163, 58.83 
 10008535, 58.83 
 10012533, 58.67 
 10014413, 58.50 
 10014008, 58.33 
 10031536, 58.00 
 10014471, 58.00 
 10028539, 58.00 
 10013323, 57.83 
 10025042, 57.83 
 10016960, 57.67 
 10013956, 57.50 
 10007132, 57.50 
 10026322, 57.50 
 10022237, 57.50 
 10029499, 57.17 
 10027489, 57.17 
 10029787, 57.17 
 10018715, 57.17 
 10025881, 57.17 
 10000264, 57.00 
 10013893, 56.83 
 10023556, 56.83 
 10002712, 56.83 
 10013612, 56.67 
 10010686, 56.67 
 10026513, 56.67 
 10030080, 56.67 
 10016802, 56.67 
 10022264, 56.50 
 10015839, 56.50 
 10005255, 56.50 
 10016130, 56.50 
 10005926, 56.50 
 10003714, 56.50 
 10013197, 56.33 
 10017096, 56.17 
 10006414, 56.17 
 10029785, 56.17 
 10019453, 56.00 
 10002766, 55.83 
 10020596, 55.83 
 10009329, 55.83 
 10008711, 55.83 
 10028203, 55.83 
 10032033, 55.83 
 10015869, 55.83 
 10022617, 55.83 
 10006783, 55.83 
 10028126, 55.67 
 10011283, 55.50 
 10005162, 55.50 
 10020589, 55.50 
 10019857, 55.50 
 10003119, 55.50 
 10018010, 55.50 
 10012775, 55.50 
 10022134, 55.50 
 10020830, 55.50 
 10029528, 55.50 
 10029914, 55.50 
 10016722, 55.50 
